POI Identifier;Address;Description;Name;geo_shape;geo_point_2d
1199;1180 WOODBINE RD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.60297977116026, 44.25992977934281]}";44.2599297793, -76.6029797712
877;1021 WOODBINE RD;Place of Worship;WESTSIDE FELLOWSHIP CHRISTIAN REFORMED CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.59285326212971, 44.25825442167335]}";44.2582544217, -76.5928532621
1537;47 VAN ORDER DRIVE;Childcare Facility;COMPLEX CO-OPERATIVE NURSERY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.51655407961348, 44.234953653527825]}";44.2349536535, -76.5165540796
1668;78 FIFTH FIELD COMPANY LN;Queen's University;FLEMING HALL - JEMMETT WING;"{""type"": ""Point"", ""coordinates"": [-76.49434388718585, 44.22646090008549]}";44.2264609001, -76.4943438872
3188;5639 HWY 15;Communication Tower;HWY 15 - LEO LAKE RD CELL TOWER;"{""type"": ""Point"", ""coordinates"": [-76.29481370834257, 44.42719187162016]}";44.4271918716, -76.2948137083
1582;1020 LANCASTER DR;Childcare Facility;F.C.C.C. - LANCASTER DRIVE;"{""type"": ""Point"", ""coordinates"": [-76.5960384465488, 44.25604627216983]}";44.2560462722, -76.5960384465
911;472 BAGOT ST;Place of Worship;UKRAINIAN CATHOLIC PARISH;"{""type"": ""Point"", ""coordinates"": [-76.48415271761898, 44.23692957862475]}";44.2369295786, -76.4841527176
861;236 NELSON ST;Place of Worship;ST. LUKE'S CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.50238080352135, 44.23781535097743]}";44.237815351, -76.5023808035
3231;GENERAL CRERAR CR;Boat Ramp;RMC BOAT RAMP;"{""type"": ""Point"", ""coordinates"": [-76.46638663508227, 44.229067363212884]}";44.2290673632, -76.4663866351
1910;18 QUEEN ST;Parking Lot;KING/QUEEN LOT;"{""type"": ""Point"", ""coordinates"": [-76.47961019039899, 44.23179657968803]}";44.2317965797, -76.4796101904
3570;11 NAVY WY;Athletic Centre;KMCSRC;"{""type"": ""Point"", ""coordinates"": [-76.46857722753045, 44.23671169132951]}";44.2367116913, -76.4685772275
4248;85 LAPPAN'S LN;Cell Antenna;85 Lappan's Ln Microwave Dish;"{""type"": ""Point"", ""coordinates"": [-76.5090670287164, 44.260150614851774]}";44.2601506149, -76.5090670287
431;487 BROCK ST;Tennis Court;VICTORIA PARK MULTI USE COURT;"{""type"": ""Point"", ""coordinates"": [-76.49918733234034, 44.23378245194519]}";44.2337824519, -76.4991873323
1735;334 PRINCESS ST;Gallery;GALLERY RAYMOND;"{""type"": ""Point"", ""coordinates"": [-76.48983232516716, 44.23255923416834]}";44.2325592342, -76.4898323252
1177;470 MAPLE LAWN DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.45756929993806, 44.30252208152325]}";44.3025220815, -76.4575692999
3588;200 HAMPTON GRAY GT;;RCAFA CLUB;"{""type"": ""Point"", ""coordinates"": [-76.5929204037878, 44.219591776289455]}";44.2195917763, -76.5929204038
2065;914 HWY 15;Washroom;KINGSTON FRONTENAC LIBRARY - PITTSBURGH BRANCH;"{""type"": ""Point"", ""coordinates"": [-76.46130548322239, 44.259564520719394]}";44.2595645207, -76.4613054832
2013;1114 LEN BIRCHALL WY;Airport Terminal;KINGSTON AIRPORT TERMINAL;"{""type"": ""Point"", ""coordinates"": [-76.59764922425344, 44.2187173806849]}";44.2187173807, -76.5976492243
800;1212 WOODBINE RD;Education Facility;KINGSTON CHRISTIAN SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.60554524725163, 44.258049558794866]}";44.2580495588, -76.6055452473
798;1212 WOODBINE RD;Education Facility;BAYSIDE MONTESSORI SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.59284678180605, 44.25812095424341]}";44.2581209542, -76.5928467818
807;65 RUSSELL ST;Education Facility;TRINITY CHRISTIAN SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.4903160193547, 44.24462377017205]}";44.2446237702, -76.4903160194
188;140 RIDEAU ST;Splash Pad;RIVERVIEW PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.48315011347032, 44.2371173025815]}";44.2371173026, -76.4831501135
2012;1 THE TRAGICALLY HIP WAY;Washroom;LEON'S CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.47961146003256, 44.233606405670365]}";44.2336064057, -76.47961146
2669;1350 GARDINERS RD;Soccer Field;CARACO HOME FIELD;"{""type"": ""Point"", ""coordinates"": [-76.5665065349824, 44.275837769711906]}";44.2758377697, -76.566506535
2069;487 BROCK ST;Washroom;VICTORIA PARK;"{""type"": ""Point"", ""coordinates"": [-76.49899283832507, 44.23313199344211]}";44.2331319934, -76.4989928383
815;153 VAN ORDER DR;Education Facility;LOYALIST COLLEGIATE & VOCATIONAL INSTITUTE;"{""type"": ""Point"", ""coordinates"": [-76.52033948474936, 44.23896771717805]}";44.2389677172, -76.5203394847
818;2903 JOYCEVILLE RD;Education Facility;JOYCEVILLE PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.33507833544844, 44.3600124085449]}";44.3600124085, -76.3350783354
1667;58 UNIVERSITY AVE;Queen's University;ELLIS HALL;"{""type"": ""Point"", ""coordinates"": [-76.49625952306518, 44.22635247491077]}";44.2263524749, -76.4962595231
1670;31 GEORGE ST;Queen's University;LOUISE D. ACTON BUILDING;"{""type"": ""Point"", ""coordinates"": [-76.49156072192787, 44.223971746788216]}";44.2239717468, -76.4915607219
1282;201 CONACHER DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48955377801126, 44.26615715188691]}";44.2661571519, -76.489553778
1289;5 JORENE DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.5734438340629, 44.21256998199882]}";44.212569982, -76.5734438341
759;920 KING ST;Washroom;LAKE ONTARIO PARK WASHROOM;"{""type"": ""Point"", ""coordinates"": [-76.53155790129242, 44.21693249388621]}";44.2169324939, -76.5315579013
1294;1180 WOODBINE RD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.60332446594444, 44.25934137046964]}";44.2593413705, -76.6033244659
1308;820 SOMERSET CRES;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.57695394056269, 44.25053082096429]}";44.250530821, -76.5769539406
1311;3513 BREWER'S MILLS RD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.28136590987751, 44.41091744339258]}";44.4109174434, -76.2813659099
1319;900 HENDERSON BLVD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.58285092757596, 44.228812226514954]}";44.2288122265, -76.5828509276
1324;550 ARAGON RD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.46253794691089, 44.3065122295653]}";44.3065122296, -76.4625379469
1768;130 RUSSELL ST;Running Track;REGIOPOLIS-NOTRE DAME SECONDARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.49401119194707, 44.24292772640434]}";44.2429277264, -76.4940111919
1778;303 YORK ST;Running Track;KINGSTON MEMORIAL CENTRE MULTI-USE TRACK;"{""type"": ""Point"", ""coordinates"": [-76.50012649643136, 44.239774616772046]}";44.2397746168, -76.5001264964
1801;;Town;NAPANEE;"{""type"": ""Point"", ""coordinates"": [-76.9882162885795, 44.239631516430755]}";44.2396315164, -76.9882162886
1802;;Town;ELGIN;"{""type"": ""Point"", ""coordinates"": [-76.22201907098243, 44.608042021698]}";44.6080420217, -76.222019071
1809;;Town;AMHERSTVIEW;"{""type"": ""Point"", ""coordinates"": [-76.65585951161462, 44.23028132555262]}";44.2302813256, -76.6558595116
1810;;Town;MALLORYTOWN;"{""type"": ""Point"", ""coordinates"": [-75.88101455420055, 44.48004005760756]}";44.4800400576, -75.8810145542
1813;;Town;MERRICKVILLE;"{""type"": ""Point"", ""coordinates"": [-75.83801413296976, 44.91503989632037]}";44.9150398963, -75.838014133
1815;;Town;LANSDOWNE;"{""type"": ""Point"", ""coordinates"": [-76.01801360850247, 44.40603902599525]}";44.406039026, -76.0180136085
1818;;Town;LYN;"{""type"": ""Point"", ""coordinates"": [-75.78501356520947, 44.575038236418244]}";44.5750382364, -75.7850135652
4629;920 KING ST;Swingset;LAKE ONTARIO PARK SWINGSET;"{""type"": ""Point"", ""coordinates"": [-76.53110760330922, 44.2188252380725]}";44.2188252381, -76.5311076033
1370;36 ELMWOOD ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.5214165107437, 44.241701505742625]}";44.2417015057, -76.5214165107
1374;146 GUTHRIE DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48146311588636, 44.27319912619232]}";44.2731991262, -76.4814631159
1673;10 STUART ST;Queen's University;CANCER RESEARCH INSTITUTE;"{""type"": ""Point"", ""coordinates"": [-76.49117750269764, 44.22400217368917]}";44.2240021737, -76.4911775027
930;605 BAGOT ST;Place of Worship;CALVARY UNITED CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.48537309101376, 44.240454901543806]}";44.2404549015, -76.485373091
1171;914 15 HWY;Park;MACLEAN TRAILS (PITTSBURGH LIBRARY);"{""type"": ""Point"", ""coordinates"": [-76.4616462941888, 44.25975923704614]}";44.259759237, -76.4616462942
1038;121 MEDLEY CRT;Park;100 FOOT PARK;"{""type"": ""Point"", ""coordinates"": [-76.46246033177698, 44.253002142880675]}";44.2530021429, -76.4624603318
2009;303 YORK ST;Washroom;KINGSTON MEMORIAL CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.50023542240216, 44.239344551907394]}";44.2393445519, -76.5002354224
1680;175 STUART ST;Queen's University;CHOWN HALL;"{""type"": ""Point"", ""coordinates"": [-76.49700766207138, 44.22424222515891]}";44.2242422252, -76.4970076621
1386;792 HENDERSON BLVD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.57811213728505, 44.22885341349879]}";44.2288534135, -76.5781121373
1387;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.3098890857768, 44.292392974858835]}";44.2923929749, -76.3098890858
1395;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.3105091581269, 44.29180100414932]}";44.2918010041, -76.3105091581
1399;15 POINT ST. MARK DR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.46269385457018, 44.25539914270726]}";44.2553991427, -76.4626938546
1403;;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.52582331154468, 44.251946446028384]}";44.251946446, -76.5258233115
1408;39 CRERAR BLVD;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.5673685393498, 44.21295369948431]}";44.2129536995, -76.5673685393
4639;1030 SUNNYSIDE RD;Playground;CLOVERDALE PARK SWINGSET;"{""type"": ""Point"", ""coordinates"": [-76.5472338308908, 44.27883912020163]}";44.2788391202, -76.5472338309
278;1250 ACADIA DR;Playground;WESTPARK (ACADIA PARK) SWINGSET;"{""type"": ""Point"", ""coordinates"": [-76.59630090941431, 44.23477045771821]}";44.2347704577, -76.5963009094
240;1250 ACADIA DR;Playground;WESTPARK (ACADIA PARK) CLIMBER;"{""type"": ""Point"", ""coordinates"": [-76.59639001483693, 44.23489914412495]}";44.2348991441, -76.5963900148
3488;26 SOMME AVE;Hospital;33 CANADIAN FORCES HEALTH SERVICES CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.44277049795784, 44.24380278862838]}";44.2438027886, -76.442770498
4581;1016 BLUFFWOOD AVE;Trail Access;GREENWOOD PARK TRAIL;"{""type"": ""Point"", ""coordinates"": [-76.4387929894977, 44.27053578201989]}";44.270535782, -76.4387929895
1521;76 STUART ST;Hospital;KINGSTON GENERAL HOSPITAL;"{""type"": ""Point"", ""coordinates"": [-76.49339524173797, 44.22369718618253]}";44.2236971862, -76.4933952417
430;1020 LANCASTER DR;Basketball Court;LANCASTER DRIVE PUBLIC SCHOOL BASKETBALL COURT;"{""type"": ""Point"", ""coordinates"": [-76.5970830651175, 44.255249791431716]}";44.2552497914, -76.5970830651
432;;Basketball Court;TRILLIUM RIDGE PARK COURT;"{""type"": ""Point"", ""coordinates"": [-76.55151462121792, 44.25187811007954]}";44.2518781101, -76.5515146212
438;361 ROOSEVELT DR;Basketball Court;J R HENDERSON PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.57644474275907, 44.228670052386]}";44.2286700524, -76.5764447428
442;1250 ACADIA DR;Basketball Court;WESTPARK BASKETBALL COURT;"{""type"": ""Point"", ""coordinates"": [-76.59651865785614, 44.23565392447583]}";44.2356539245, -76.5965186579
459;251 MCMAHON AVE;Soccer Field;LORD STRATHCONA PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52206525609154, 44.251543573977465]}";44.251543574, -76.5220652561
309;;Ball Diamond;ROYAL CANADIAN LEGION - BRANCH 560;"{""type"": ""Point"", ""coordinates"": [-76.48855090538126, 44.25174676382347]}";44.2517467638, -76.4885509054
320;1229 CARMIL BLVD;Ball Diamond;HIGHGATE PARK BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.60673123101871, 44.248171852319835]}";44.2481718523, -76.606731231
322;41 GRENADIER DR;Ball Diamond;GRENADIER PARK BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.45672064005711, 44.2549250269994]}";44.254925027, -76.4567206401
323;1066 HUDSON DR;Ball Diamond;BAYRIDGE PUBLIC SCHOOL BASEBALL FIELD 1;"{""type"": ""Point"", ""coordinates"": [-76.59249853550776, 44.24924145028452]}";44.2492414503, -76.5924985355
3485;560 KING ST W;Penitentiary;KINGSTON PENITENTIARY;"{""type"": ""Point"", ""coordinates"": [-76.51355530083038, 44.219775484473516]}";44.2197754845, -76.5135553008
3171;1546 BATTERSEA RD;Park and Ride;MONTREAL ST PARK &  RIDE;"{""type"": ""Point"", ""coordinates"": [-76.47217684841176, 44.27910536351074]}";44.2791053635, -76.4721768484
4599;1350 GARDINERS RD;Park and Ride;INVISTA CENTRE PARK AND RIDE;;
3902;3322 VAN ORDER DR;Trail Access;RIDEAU TRAIL VAN ORDER DR ACCESS PNT;"{""type"": ""Point"", ""coordinates"": [-76.61835813605933, 44.33582336530836]}";44.3358233653, -76.6183581361
30;1040 PRINCESS ST;Shopping Centre;KINGSTON CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.51561874671889, 44.24185411959869]}";44.2418541196, -76.5156187467
34;2022 2 HWY;Golf Course;GLEN LAWRENCE GOLF CLUB;"{""type"": ""Point"", ""coordinates"": [-76.36590022444327, 44.27274921708263]}";44.2727492171, -76.3659002244
36;3651 GENGE RD;Golf Course;WESTBROOK GOLF CLUB & DRIVING RANGE;"{""type"": ""Point"", ""coordinates"": [-76.63577744588494, 44.28411009592419]}";44.2841100959, -76.6357774459
1468;137 QUEEN ST;Cemetery;ST. PAUL'S ANGLICAN CHURCHYARD;"{""type"": ""Point"", ""coordinates"": [-76.48502262664215, 44.23313170176473]}";44.2331317018, -76.4850226266
944;1200 PRINCESS ST;Museum;SISTERS OF PROVIDENCE ARCHIVES;"{""type"": ""Point"", ""coordinates"": [-76.5232486077699, 44.244575478051466]}";44.2445754781, -76.5232486078
49;151 ORDNANCE ST;Monument;JOHN BARCLAY MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48794002894402, 44.23621389184151]}";44.2362138918, -76.4879400289
1627;266 MCMAHON AVE;Tennis Court;ST. PAUL'S ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52445644404928, 44.24914360174004]}";44.2491436017, -76.524456444
68;111 NORMAN ROGERS DR;Monument;WILLIAM PATERSON MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.51843778175076, 44.2332492039121]}";44.2332492039, -76.5184377818
229;585 ROOSEVELT DR;Playground;AUDEN PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.58648681680738, 44.23452997575376]}";44.2345299758, -76.5864868168
230;550 ARAGON RD;Playground;HEMLOCK DOWNS PARK;"{""type"": ""Point"", ""coordinates"": [-76.4625820883689, 44.30629524233857]}";44.3062952423, -76.4625820884
3512;266 MCMAHON AVE;Tennis Court;ST. PAUL'S ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52368351663876, 44.24934831494883]}";44.2493483149, -76.5236835166
250;52 NOTCH HILL RD;Playground;SILAS STEVENS PARKETTE;"{""type"": ""Point"", ""coordinates"": [-76.53122363590222, 44.23794435521892]}";44.2379443552, -76.5312236359
824;51 VIRGINIA ST;Education Facility;ECOLE ELEMENTAIRE CATHOLIQUE MGR-REMI-GAULIN;"{""type"": ""Point"", ""coordinates"": [-76.48626014190748, 44.26974912073023]}";44.2697491207, -76.4862601419
257;67 FRASER ST;Playground;FRASER STREET PARKETTE;"{""type"": ""Point"", ""coordinates"": [-76.49030698958053, 44.24648928321531]}";44.2464892832, -76.4903069896
258;190 WELBORNE AVE;Playground;WELBORNE PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.57892493853507, 44.22243733841624]}";44.2224373384, -76.5789249385
4288;487 BROCK ST;Basketball Court;VICTORIA PARK MULTI USE COURT;"{""type"": ""Point"", ""coordinates"": [-76.49953949781386, 44.23389353686028]}";44.2338935369, -76.4995394978
3569;17 GENERAL CRERAR CR;RMC;SAWYER BLDG 1-2;"{""type"": ""Point"", ""coordinates"": [-76.46671930572235, 44.230605413576995]}";44.2306054136, -76.4667193057
1734;1098 2 HWY;Gallery;HEATHER HALL IMAGES;"{""type"": ""Point"", ""coordinates"": [-76.41331852365872, 44.24890566165811]}";44.2489056617, -76.4133185237
3239;235 GORE RD;Plaza;RIDEAU TOWN CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.45558065215884, 44.258564403593915]}";44.2585644036, -76.4555806522
2977;409 FRONT RD;Municipal Wastewater Treatment Plant;WEST WASTEWATER TREATMENT PLANT;"{""type"": ""Point"", ""coordinates"": [-76.55192000633224, 44.214524780519724]}";44.2145247805, -76.5519200063
894;195 UNION ST;Place of Worship;UNION STREET GOSPEL CHAPEL;"{""type"": ""Point"", ""coordinates"": [-76.50112068962348, 44.22724008979791]}";44.2272400898, -76.5011206896
3581;150 WEST ST;Court House;FORMER GAOLER'S RESIDENCE;"{""type"": ""Point"", ""coordinates"": [-76.48988442645764, 44.22824429077843]}";44.2282442908, -76.4898844265
1724;10 BADER LN;Queen's University;BAN RIGH HALL;"{""type"": ""Point"", ""coordinates"": [-76.49607999419727, 44.22470331318781]}";44.2247033132, -76.4960799942
1459;151 ORDNANCE ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48807668931705, 44.23632018578476]}";44.2363201858, -76.4880766893
342;361 ROOSEVELT DR;Ball Diamond;J R HENDERSON PUBLIC SCHOOL BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.57718075406903, 44.22871424213011]}";44.2287142421, -76.5771807541
333;190 WELBORNE AVE;Ball Diamond;WELBORNE PUBLIC SCHOOL BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.57909053101316, 44.22135081744784]}";44.2213508174, -76.579090531
356;251 MCMAHON AVE;Ball Diamond;LORD STRATHCONA PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52276049984458, 44.25131903225335]}";44.2513190323, -76.5227604998
52;62 KING ST W;Monument;POLLUTION MONUMENT;"{""type"": ""Point"", ""coordinates"": [-76.49255345120358, 44.22205762550965]}";44.2220576255, -76.4925534512
353;196 YONGE ST;Ball Diamond;GARRIGAN PARK;"{""type"": ""Point"", ""coordinates"": [-76.51928629160193, 44.223032413637235]}";44.2230324136, -76.5192862916
55;33 BAGOT ST;Monument;SJA MACDONALD CANON 1;"{""type"": ""Point"", ""coordinates"": [-76.48662783927581, 44.2250353688898]}";44.2250353689, -76.4866278393
48;WEST ST;Monument;47 INFANTRY WAR MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48707564329821, 44.22526058587165]}";44.2252605859, -76.4870756433
425;3513 BREWER'S MILLS RD;Basketball Court;;"{""type"": ""Point"", ""coordinates"": [-76.28101357364744, 44.410585027620996]}";44.4105850276, -76.2810135736
406;1280 COVERDALE DR;Basketball Court;;"{""type"": ""Point"", ""coordinates"": [-76.60544823535696, 44.23764073575777]}";44.2376407358, -76.6054482354
418;40 COMPTON ST;Basketball Court;;"{""type"": ""Point"", ""coordinates"": [-76.48942550323284, 44.26346560516176]}";44.2634656052, -76.4894255032
374;2100 UNITY RD;Ball Diamond;ELGINBURG PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.54076811485335, 44.319642422070345]}";44.3196424221, -76.5407681149
369;85 FIRST AVE;Ball Diamond;FIRST AVENUE PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.5021818395967, 44.24387104904272]}";44.243871049, -76.5021818396
400;1180 WOODBINE RD;BMX Track;WOODBINE PARK BMX TRACK;"{""type"": ""Point"", ""coordinates"": [-76.60526879719265, 44.26046103912322]}";44.2604610391, -76.6052687972
387;53 FOURTH AVE;Splash Pad;KIWANIS PARK SPLASH PAD;"{""type"": ""Point"", ""coordinates"": [-76.5006188564288, 44.24577372331168]}";44.2457737233, -76.5006188564
71;23 ONTARIO ST;Monument;MARINE MUSEUM MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48407674807957, 44.22390231389768]}";44.2239023139, -76.4840767481
70;685 BROCK ST;Monument;TERCENTENARY MONUMENT;"{""type"": ""Point"", ""coordinates"": [-76.50807339612754, 44.23278424987606]}";44.2327842499, -76.5080733961
668;;Village;LONG LAKE;"{""type"": ""Point"", ""coordinates"": [-76.76390204507739, 44.69284594685652]}";44.6928459469, -76.7639020451
674;;Village;RONALDSON;"{""type"": ""Point"", ""coordinates"": [-77.02286489003646, 44.69315817248996]}";44.6931581725, -77.02286489
661;;Village;IVY LEA;"{""type"": ""Point"", ""coordinates"": [-76.00601445481189, 44.365039579480396]}";44.3650395795, -76.0060144548
671;;Village;COLEBROOK;"{""type"": ""Point"", ""coordinates"": [-76.773425695855, 44.38718440933608]}";44.3871844093, -76.7734256959
4164;18 GOLF COURSE LN;Education Facility;SOUTHVIEW PS;"{""type"": ""Point"", ""coordinates"": [-76.93732102009605, 44.23821272625188]}";44.2382127263, -76.9373210201
1264;487 BROCK ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.49760839041437, 44.23364717374898]}";44.2336471737, -76.4976083904
1304;200 KING ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.49730828477831, 44.22256338845036]}";44.2225633885, -76.4973082848
2870;375 SELECT DR UNIT 14;News Paper;THE KINGSTON HERITAGE;"{""type"": ""Point"", ""coordinates"": [-76.55489041008641, 44.25608542992774]}";44.2560854299, -76.5548904101
1676;94 STUART ST;Queen's University;ETHERINGTON HALL;"{""type"": ""Point"", ""coordinates"": [-76.49390661236708, 44.22425892442326]}";44.2242589244, -76.4939066124
1838;153 ROBERT WALLACE DR;Outdoor Rink;POLSON PARK;"{""type"": ""Point"", ""coordinates"": [-76.52925325282781, 44.235555027474646]}";44.2355550275, -76.5292532528
1674;90 BADER LANE;Queen's University;CHERNOFF HALL;"{""type"": ""Point"", ""coordinates"": [-76.49887907742063, 44.224351713830245]}";44.2243517138, -76.4988790774
1841;201 CONACHER DR;Outdoor Rink;MARKERS ACRES PARK;"{""type"": ""Point"", ""coordinates"": [-76.4895121100446, 44.267128363505435]}";44.2671283635, -76.48951211
1671;51 BADER LANE;Queen's University;GREY HOUSE;"{""type"": ""Point"", ""coordinates"": [-76.49768862991408, 44.22526081039637]}";44.2252608104, -76.4976886299
1672;60 UNION ST;Queen's University;NICOL HALL;"{""type"": ""Point"", ""coordinates"": [-76.49378084093077, 44.227476480991946]}";44.227476481, -76.4937808409
1084;39 WINDFIELD CRES;Park;WINDFIELD PARK;"{""type"": ""Point"", ""coordinates"": [-76.4588493378192, 44.256733515649394]}";44.2567335156, -76.4588493378
1081;156 MONTREAL ST;Park;HILLSIDE PARK;"{""type"": ""Point"", ""coordinates"": [-76.48552957625637, 44.23633585303135]}";44.236335853, -76.4855295763
1366;;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.38256224361454, 44.25601944484635]}";44.2560194448, -76.3825622436
251;370 KINGSTON MILLS RD;Playground;HOLY NAME ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.42461371480772, 44.30071560837374]}";44.3007156084, -76.4246137148
244;1016 BLUFFWOOD AVE;Playground;BLUFFWOOD PARKETTE PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.43881318519728, 44.270654351075116]}";44.2706543511, -76.4388131852
256;975 OLD COLONY RD;Playground;OLD COLONY PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.58333536929243, 44.25390802474648]}";44.2539080247, -76.5833353693
246;141 THIRD AVE;Playground;THIRD AVENUE PARK;"{""type"": ""Point"", ""coordinates"": [-76.50490375650921, 44.24522525051811]}";44.2452252505, -76.5049037565
259;15 OAK ST;Playground;MAX JACKSON PARK;"{""type"": ""Point"", ""coordinates"": [-76.50289209369379, 44.25133315309628]}";44.2513331531, -76.5028920937
973;199 WILSON ST;Park;SHANNON PARK A&B;"{""type"": ""Point"", ""coordinates"": [-76.48445090679809, 44.26388864850769]}";44.2638886485, -76.4844509068
3468;33 BENSON ST;;DAYS INN CONFERENCE CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.49632764223446, 44.26705432171824]}";44.2670543217, -76.4963276422
517;234 NORMAN ROGERS DR;Soccer Field;ST. THOMAS MORE ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52328788524315, 44.23361888317012]}";44.2336188832, -76.5232878852
7;70 CRAFTSMAN BLVD;Driving Range;GARRISON GOLF AND COUNTRY CLUB;"{""type"": ""Point"", ""coordinates"": [-76.45246523639062, 44.24556592076884]}";44.2455659208, -76.4524652364
234;268 OLD QUARRY RD;Playground;O'CONNOR PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.52442137399359, 44.25662371660313]}";44.2566237166, -76.524421374
555;56 FRANCIS ST;Soccer Field;PORTSMOUTH SOCCER FIELDS 2;"{""type"": ""Point"", ""coordinates"": [-76.52252977456537, 44.22592186000476]}";44.22592186, -76.5225297746
483;773 HWY 15;Soccer Field;LA SALLE HS SOCCER FIELD 3;"{""type"": ""Point"", ""coordinates"": [-76.45441514325806, 44.25392357097285]}";44.253923571, -76.4544151433
477;2100 UNITY RD;Soccer Field;ELGINBURG PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.54042493087758, 44.32019937826894]}";44.3201993783, -76.5404249309
109;2 MAIN ST;Monument;THE OLD RED PATCH WAR MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.46155058283232, 44.23906870215816]}";44.2390687022, -76.4615505828
464;64 DRENNAN ST;Soccer Field;STARR REID PARK;"{""type"": ""Point"", ""coordinates"": [-76.48405019661959, 44.2605660342908]}";44.2605660343, -76.4840501966
449;412 RIDEAU ST;Soccer Field;KATINGS FIELDS;"{""type"": ""Point"", ""coordinates"": [-76.48538894517067, 44.244250416118575]}";44.2442504161, -76.4853889452
4574;;Transmitter-Rogers;;"{""type"": ""Point"", ""coordinates"": [-76.5648057920622, 44.28113485526403]}";44.2811348553, -76.5648057921
4591;770 CENTENNIAL DR;Trail Access;CATARAQUI ESTATES BP TRAIL ACCESS;"{""type"": ""Point"", ""coordinates"": [-76.56439867608783, 44.27983699781497]}";44.2798369978, -76.5643986761
4590;175 RESOURCE RD;Trail Access;CATARAQUI ESTATES BP TRAIL ACCESS;"{""type"": ""Point"", ""coordinates"": [-76.56304889603935, 44.27707858823251]}";44.2770785882, -76.563048896
